sha1	aspin	inc	win
cda807ec785fba7bcdbb6a905448d45a131d5187	-0.2	20	1
b9d91f33f88a1b25fd000287852f39bccba9e52f	-0.2	20	2
30451ac7f549f163a4751aa0643507891e6ff698	-0.2	20	3
0c5b91619c2b7d213ce56087e5ffddb12a58923b	-0.2	40	1
bfb5fe71d7021ace0103f2cdea4cb6cb885365e1	-0.2	40	2
a1bc28adcd91c0d1ae20875b4c97297a7af25f63	-0.2	40	3
d1de380dbdd1175765064e415dc6edb15a70ca89	-0.2	60	1
c7978d8c7f59712fe2453bce9fd4c2dee67033f2	-0.2	60	2
a20ec100299bc002c617c85ed16fb12dc66c5804	-0.2	60	3
e1eb76ff209e5935eddbe82a3940cdb68d5e5e2a	0.1	20	1
577febcca6f2ff8840a5e47e505d6016833f2699	0.1	20	2
e325ec2f34dbe0448d9904500237f5a7e5a610d0	0.1	20	3
7dffec7f784c265d4bfa5020e5320c8f17394dbb	0.1	40	1
1b2f0770c2e21f1909d2416ac3dc4b4f20706971	0.1	40	2
94d9e9b84fed03507125d53d5396658b826ff1ca	0.1	40	3
ac5398714e0d9e29fb3593595505dc2334ec8bc9	0.1	60	1
fb2e60794829864ae0832ab451d92409486c4438	0.1	60	2
72fdacab40b50d44dda131fbf46753de27a3298e	0.1	60	3
08d0dfc73ae4ce136ad50b723f79808046d15575	0.2	20	1
ad1e083bf60481ee2d477856a53ec8240f4a91c3	0.2	20	2
073e69e6226d14923d042bfa3aec60efff98eaf0	0.2	20	3
f9f62c06225928348c67701ede7d3d7e9c4a10fa	0.2	40	1
ae8e27df7b7ea77e6e6b8799dce9600c3685a46e	0.2	40	2
a0e68018ceb2b2aeb9d9de2b93ea196d7ab54fbd	0.2	40	3
85e6161c01d7772d811e9abe0343bc4c79685eee	0.2	60	1
88316e3b6d55137f6cf9f1e799dc0f0d140bddf8	0.2	60	2
0d0a6f3ea7521776ff0a262ea3efb37b7df39702	0.2	60	3
